0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:08 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:11 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:23:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:26 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:26 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:26 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:26 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:26 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:54 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/login.jsp HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-login.css HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/facebook.svg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/recources/css/style-global.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/authentication.svg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/gmail.svg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Nov/2022:22:26:56 -0300] "GET /FinTechServelts/image/circulo_azul.svg HTTP/1.1" 404 809
